월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_트래픽,2025-08-01,LINK_CLICKS,트래픽-전제품,트래픽 데이지 이미지,9699.0,916.0,39.0,0.0,0.0,4.26,249.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_트래픽,2025-08-01,LINK_CLICKS,트래픽-전제품,트래픽 민혁,9649.0,1075.0,50.0,0.0,0.0,4.65,193.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_트래픽,2025-08-01,LINK_CLICKS,트래픽-전제품,트래픽 사라음성 -,9880.0,928.0,38.0,0.0,0.0,4.09,260.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_트래픽,2025-08-01,LINK_CLICKS,트래픽-전제품,트래픽 호랑이 파란이미지,9688.0,1400.0,55.0,0.0,0.0,3.93,176.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-계절이바뀜,32067.0,1780.0,26.0,2.0,41400.0,1.46,1233.0,16034.0,7.69,129.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-사라9,40291.0,1629.0,40.0,4.0,84000.0,2.46,1007.0,10073.0,10.0,208.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-애기더빙,5647.0,256.0,9.0,1.0,22800.0,3.52,627.0,5647.0,11.11,404.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-이거진짜물건,794.0,41.0,1.0,0.0,0.0,2.44,794.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-이미지-매일뽀송,38293.0,1894.0,28.0,3.0,79100.0,1.48,1368.0,12764.0,10.71,207.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,수동 데이지 애기더빙,217327.0,16872.0,420.0,7.0,179000.0,2.49,517.0,31047.0,1.67,82.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,토마토 호수,146758.0,24485.0,280.0,17.0,421000.0,1.14,524.0,8633.0,6.07,287.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-발매트_11.04종료,토마토-동영상-영은,79698.0,3810.0,116.0,4.0,130600.0,3.04,687.0,19924.0,3.45,164.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-전제품_11.04종료,룸슈즈-동영상-테리가소개,39828.0,1502.0,43.0,1.0,29800.0,2.86,926.0,39828.0,2.33,75.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-전제품_11.04종료,룸슈즈-동영상-현주-애착실내화,92528.0,6362.0,73.0,4.0,119200.0,1.15,1268.0,23132.0,5.48,129.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,구매-전제품_11.04종료,룸슈즈-동영상-테리룸슈즈,150936.0,10688.0,135.0,8.0,438760.0,1.26,1118.0,18867.0,5.93,291.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,1-데이지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,6-데이지만_⭐편집 living_vely,2838.0,151.0,2.0,0.0,0.0,1.32,1419.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,asc 사라음성,4618.0,321.0,8.0,0.0,0.0,2.49,577.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,asc 토마토 유정,284491.0,25998.0,520.0,18.0,511500.0,2.0,547.0,15805.0,3.46,180.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,3595.0,207.0,5.0,0.0,0.0,2.42,719.0,0.0,0.0,0.0
2025. 8. 1,2025. 7. 28,기타,기타,기타,메타_전환,2025-08-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,어드벤티지 호수 실내화 -028 -,1029.0,32.0,1.0,0.0,0.0,3.12,1029.0,0.0,0.0,0.0
