월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동 데이지,수동 데이지 애기더빙,25924.0,1084.0,21.0,2.0,116400.0,1.94,1234.0,12962.0,9.52,449.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동 데이지,수동-사라 9,13222.0,468.0,4.0,0.0,0.0,0.85,3306.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동 데이지,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,189665.0,8127.0,172.0,7.0,274200.0,2.12,1103.0,27095.0,4.07,145.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동 데이지,이미지 24-09-25 - 사본,19163.0,1228.0,21.0,0.0,0.0,1.71,913.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,3-호랑이_⭐편집 majjo_home,2955.0,78.0,1.0,0.0,0.0,1.28,2955.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_foodmin123 - 사본,16877.0,575.0,1.0,1.0,39600.0,0.17,16877.0,16877.0,100.0,235.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_iam_maldi - 사본,66.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_jjun2_mam - 사본,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_ran.gogo2018 - 사본,95.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_ran.gogo2018 -2,272.0,13.0,1.0,0.0,0.0,7.69,272.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상-5,66800.0,3961.0,53.0,4.0,185400.0,1.34,1260.0,16700.0,7.55,278.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상1 - 사본,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상2 - 사본,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상3,2971.0,65.0,4.0,1.0,44600.0,6.15,743.0,2971.0,25.0,1501.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지 ㅇ,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지 ㅇ - 1,10717.0,1194.0,17.0,1.0,29600.0,1.42,630.0,10717.0,5.88,276.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지1,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지3,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,1-데이지,241138.0,17114.0,203.0,15.0,551500.0,1.19,1188.0,16076.0,7.39,229.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,2-데이지,619.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,3-데이지_⭐ 편집 majjo_home,13443.0,679.0,10.0,2.0,108800.0,1.47,1344.0,6722.0,20.0,809.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,3-매트합본_⭐편집 majjo_home,10899.0,654.0,6.0,1.0,36600.0,0.92,1816.0,10899.0,16.67,336.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,4-데이지,1478.0,88.0,1.0,0.0,0.0,1.14,1478.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,5-데이지,408.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 4. 1,2025. 3. 31,기타,기타,기타,메타_전환,2025-04-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,6-데이지만_⭐편집 living_vely,576.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
