월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동 데이지,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,95962.0,4891.0,105.0,7.0,280400.0,2.15,914.0,13709.0,6.67,292.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동 데이지,이미지 24-09-25 - 사본,25558.0,1496.0,24.0,3.0,148000.0,1.6,1065.0,8519.0,12.5,579.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,3-호랑이_⭐편집 majjo_home,3285.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_foodmin123 - 사본,7879.0,248.0,7.0,0.0,0.0,2.82,1126.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_iam_maldi - 사본,2646.0,56.0,3.0,1.0,50400.0,5.36,882.0,2646.0,33.33,1905.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_jjun2_mam - 사본,154.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_ran.gogo2018 - 사본,731.0,41.0,3.0,0.0,0.0,7.32,244.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,video_ran.gogo2018 -2,1545.0,55.0,1.0,1.0,29800.0,1.82,1545.0,1545.0,100.0,1929.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상-5,3543.0,108.0,1.0,0.0,0.0,0.93,3543.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상1 - 사본,5724.0,185.0,2.0,0.0,0.0,1.08,2862.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상2 - 사본,612.0,34.0,1.0,0.0,0.0,2.94,612.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이영상3,2521.0,89.0,4.0,0.0,0.0,4.49,630.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지 ㅇ,336.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지 ㅇ - 1,147176.0,16032.0,198.0,6.0,177800.0,1.24,743.0,24529.0,3.03,121.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지1,2581.0,180.0,1.0,0.0,0.0,0.56,2581.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지2,2457.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,수동_호랑이 - 어드밴티지+ 쇼핑 캠페인 - 사본,호랑이이미지3,56.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,3-데이지_⭐ 편집 majjo_home,3737.0,263.0,3.0,1.0,39600.0,1.14,1246.0,3737.0,33.33,1060.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,3-매트합본_⭐편집 majjo_home,288.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,6-데이지만_⭐편집 living_vely,540.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,데이지영상 사라,199.0,12.0,2.0,0.0,0.0,16.67,100.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,583760.0,32311.0,544.0,42.0,1251100.0,1.68,1073.0,13899.0,7.72,214.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 나경 자막 뿌꾸,14097.0,593.0,6.0,0.0,0.0,1.01,2350.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 애기 더빙,96521.0,5642.0,108.0,8.0,248000.0,1.91,894.0,12065.0,7.41,257.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 화이트톤 더빙,22260.0,687.0,23.0,4.0,127400.0,3.35,968.0,5565.0,17.39,572.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-09-25,12891.0,1055.0,4.0,0.0,0.0,0.38,3223.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25,8637.0,462.0,3.0,1.0,36600.0,0.65,2879.0,8637.0,33.33,424.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -노랑,1190.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -초록,57014.0,4254.0,56.0,8.0,266200.0,1.32,1018.0,7127.0,14.29,467.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -파랑,8268.0,302.0,14.0,1.0,29600.0,4.64,591.0,8268.0,7.14,358.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,장매트 동영상1,2592.0,95.0,2.0,0.0,0.0,2.11,1296.0,0.0,0.0,0.0
2025. 3. 1,2025. 2. 24,기타,기타,기타,메타_전환,2025-03-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,장매트 이미지1A,285.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
