월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고,3789.0,201.0,4.0,0.0,0.0,1.99,947.0,0.0,0.0,0.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,수동 데이지,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,93331.0,5434.0,126.0,5.0,193000.0,2.32,741.0,18666.0,3.97,207.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,수동 데이지,이미지 24-09-25 - 사본,10784.0,755.0,17.0,2.0,64800.0,2.25,634.0,5392.0,11.76,601.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,수동_호랑이,이미지,136113.0,17590.0,341.0,5.0,156200.0,1.94,399.0,27223.0,1.47,115.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,391329.0,34862.0,531.0,27.0,938700.0,1.52,737.0,14494.0,5.08,240.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 나경 자막 뿌꾸,5168.0,284.0,4.0,0.0,0.0,1.41,1292.0,0.0,0.0,0.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 애기 더빙,235213.0,19093.0,271.0,33.0,1087142.0,1.42,868.0,7128.0,12.18,462.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 화이트톤 더빙,128025.0,8389.0,193.0,9.0,237700.0,2.3,663.0,14225.0,4.66,186.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-09-25,22432.0,2360.0,22.0,2.0,47400.0,0.93,1020.0,11216.0,9.09,211.0
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25,10879.0,760.0,11.0,0.0,0.0,1.45,989.0,0.0,0.0,0.0
