월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,수동 데이지,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,100683.0,5268.0,120.0,7.0,159000.0,2.28,839.0,14383.0,5.83,158.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,수동 데이지,이미지 24-09-25 - 사본,22472.0,1630.0,31.0,2.0,47400.0,1.9,725.0,11236.0,6.45,211.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,수동_호랑이,이미지,145069.0,22137.0,329.0,8.0,248500.0,1.49,441.0,18134.0,2.43,171.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,수동_호랑이,호랑이영상1,9580.0,575.0,9.0,1.0,53900.0,1.57,1064.0,9580.0,11.11,563.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,438651.0,33889.0,468.0,42.0,1355700.0,1.38,937.0,10444.0,8.97,309.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 나경 자막 뿌꾸,44146.0,2939.0,50.0,3.0,94600.0,1.7,883.0,14715.0,6.0,214.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 애기 더빙,136628.0,12283.0,152.0,8.0,245600.0,1.24,899.0,17078.0,5.26,180.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 화이트톤 더빙,34395.0,1470.0,58.0,0.0,0.0,3.95,593.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-09-25,18122.0,1787.0,10.0,1.0,28600.0,0.56,1812.0,18122.0,10.0,158.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25,4366.0,249.0,4.0,0.0,0.0,1.61,1092.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -노랑,1613.0,129.0,1.0,0.0,0.0,0.78,1613.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -초록,99966.0,9155.0,127.0,8.0,259000.0,1.39,787.0,12496.0,6.3,259.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -파랑,34133.0,1532.0,32.0,3.0,97800.0,2.09,1067.0,11378.0,9.38,287.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 1,129.0,49.0,1.0,0.0,0.0,2.04,129.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 2,67.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 3,91.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상4,63.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 이미지,269.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 이미지 2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상1,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상2,695.0,159.0,4.0,0.0,0.0,2.52,174.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상3,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상4,133.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상5,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상6,117.0,38.0,1.0,0.0,0.0,2.63,117.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상7,35191.0,9121.0,359.0,0.0,0.0,3.94,98.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상8,220.0,32.0,2.0,0.0,0.0,6.25,110.0,0.0,0.0,0.0
2025. 2. 1,2025. 1. 27,기타,기타,기타,메타_전환,2025-02-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 이미지,23160.0,7164.0,231.0,0.0,0.0,3.22,100.0,0.0,0.0,0.0
