월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_트래픽,2025-09-01,LINK_CLICKS,트래픽-전제품,트래픽 데이지 이미지,9924.0,859.0,25.0,0.0,0.0,2.91,397.0,0.0,0.0,0.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_트래픽,2025-09-01,LINK_CLICKS,트래픽-전제품,트래픽 민혁,9714.0,1337.0,24.0,0.0,0.0,1.8,405.0,0.0,0.0,0.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_트래픽,2025-09-01,LINK_CLICKS,트래픽-전제품,트래픽 사라음성 -,10022.0,900.0,37.0,0.0,0.0,4.11,271.0,0.0,0.0,0.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_트래픽,2025-09-01,LINK_CLICKS,트래픽-전제품,트래픽 호랑이 파란이미지,10112.0,1386.0,49.0,0.0,0.0,3.54,206.0,0.0,0.0,0.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-계절이바뀜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-사라9,70440.0,2428.0,63.0,3.0,97000.0,2.59,1118.0,23480.0,4.76,138.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-동영상-애기더빙,17740.0,491.0,10.0,2.0,78200.0,2.04,1774.0,8870.0,20.0,441.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,데이지-이미지-매일뽀송,29996.0,1022.0,20.0,0.0,0.0,1.96,1500.0,0.0,0.0,0.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,수동 데이지 애기더빙,115263.0,4932.0,163.0,2.0,42600.0,3.3,707.0,57632.0,1.23,37.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,토마토 호수,98239.0,8434.0,81.0,4.0,84000.0,0.96,1213.0,24560.0,4.94,86.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-발매트_11.04종료,토마토-동영상-영은,75573.0,2184.0,66.0,3.0,108400.0,3.02,1145.0,25191.0,4.55,143.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-전제품_11.04종료,룸슈즈-동영상-테리가소개,29583.0,1028.0,30.0,2.0,46600.0,2.92,986.0,14792.0,6.67,158.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-전제품_11.04종료,룸슈즈-동영상-현주-애착실내화,28703.0,1223.0,31.0,2.0,59600.0,2.53,926.0,14352.0,6.45,208.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,구매-전제품_11.04종료,룸슈즈-동영상-테리룸슈즈,68289.0,2605.0,73.0,4.0,172600.0,2.8,935.0,17072.0,5.48,253.0
2025. 9. 1,2025. 9. 1,기타,기타,기타,메타_전환,2025-09-01,OUTCOME_SALES,어드밴티지쇼핑-구매-전제품_11.04종료,6-데이지만_⭐편집 living_vely,482.0,40.0,1.0,0.0,0.0,2.5,482.0,0.0,0.0,0.0
