"광고,에셋이름",url,원본 url / ID
블랭킷 콘텐츠조회4,https://www.facebook.com/ads/image/?d=AQI6Hpnh_rw0N3aWoIPA5WK0HZBb890qKLZ35RbsSjxzbVnSmltIjmx1Frqung5lAXfqLB26APMfh9b74BUbC6XA6_Hkbx2IoUvOBxP2JX8TRtj8e7Mp0n_ic8nAqHpcohQuI3oph_5mN7leMgAncZ95,-
블랭킷 콘텐츠조회4,https://www.facebook.com/ads/image/?d=AQJxZWZHp-OIkTbvI8CD1tifkVhgcJwwFznX_aiKbqR4xzHwW3bwAUMfD9dErhb1WiF7sf3l3uLlla4f390yX6tHgJwUW_qfo9GWI0AGnHO7o8h8otQejxs3VwXvsFR_Mb6vxGTIo7AzEjeca-l-m6Ch,-
서코 토끼 이미지-1,https://www.facebook.com/ads/image/?d=AQLo83cEkdzLOxb68TWNteHdsvpmTG9Vr3e-Gp7GbXXyLKoIjxv_lU7mxORMBrGjv80IYANLLbYUZsZ4vKtB5WNqc458g6sB4PVSKX4vSL9TupRYBOBZIBIvNMpu4-mjCsCf1pZyS5jHENTWP_n4fkCI,-
앞치마 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQI8-syQv6LH1TNRfJmyl3cvEt-Qu4yAH9EVIupket0oEzDuxYhAC82XThhtmEOLErVZ79Fwb4E8M7tke3oN6si3BE7UUjrtR41mNputrsvjmbh5X_JwVHt_ttmvivmhBKOPdo1jJvaQTn-x8oHw9d8j,-
앞치마 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQIz7qS4CXHk7sWzGTZmTdSflIwR6lzPHplxZ_MzVJGY2daj9409AVD4Q_N7hhnB02MpVFiTTL6UzB40YUTqOEZoL9f-o9xTzcU2bkUOM1v2tYQF9Rt_pDbRTSf_ngpJI7OMVCrz_OI3hRMxMwQtr_Zo,-
앞치마 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQLqPV2rshOT6ZjJ5bkYJFibH316a8lZ2iZDUuP1npquRkaenq12lNqXsr5uVS19fcT5hoGUPny9Nuw6RJ9vstFkPVPbOwjHGYmAVFu-S0mwKqozlvymNLB6pWtHVXcXY2ND72DjC0wK10q5ODrmqCjV,-
앞치마 콘텐츠조회1,https://www.facebook.com/ads/image/?d=AQIC7tUz9TxncZsVljlCcg3lZQPz6MkH5h2xk25aRSm2AH_uPUKUfZidMV57QHeu6_dF24SZeyC_1nFrkYHEOYyKPg33lugNQddPQZg0rkky67PgnZQ1hvQD1dhDw0GOOiYX7cb-CC46r-xcaBFcp1VX,-
앞치마 콘텐츠조회1,https://www.facebook.com/ads/image/?d=AQJYLu88u-A9IjsVYtpoH55RpWmp5dYPb01hpQ78x8PZ98dWvE8OrPn9NiluFokTKNKRfz_4YRbURYyqU6X0ziCwN4EccnZTYUsPfOi5sr-P8zGGrtXgNoM46ss9vufuTKLieokHfjVyMeDacLwfR99n,-
앞치마 콘텐츠조회1,https://www.facebook.com/ads/image/?d=AQJcFSM3nPaqeoDuuoNuYJjGT8qfwDSw3vxyiuKaONW4lY5njzVB833wTgVMxHy7ZVeN7vCOpmgACDX0qhGWZLltiXI2PLubHKiTd7WXBQs-zDWJw7LDLiLMDT1-zK6_6Cf452WyCBaN9GbjRH3DTxZQ,-
앞치마 콘텐츠조회2,https://www.facebook.com/ads/image/?d=AQJK1mL5RBojZAZywycXzvTrmhJChEUVzJabC0LDuuYKXrZNva8cV6YejEu3E3JgUWKRs75bz2Lpjh86B2k7uppmucJ53mN7WbZUjcKaXm3cJmLj2wUHaBjr0SGygmV-fuBDt45tK6RPxsddK8oJPIum,-
앞치마 콘텐츠조회2,https://www.facebook.com/ads/image/?d=AQL65lvyelklq1QOyURWYQhqQzw3kuCLKfxe7fMFbGo9zjNJ2B05k5bqhpEShaSXX2X7x5YpzKg0v_dPTUJsigvjcC7WSxCbgTZ2MzeDqir87Z0cKQkQq8Rgfv-e_5YFul3D3jtwj5utg6EEZzEZ9gpO,-
앞치마 콘텐츠조회2,https://www.facebook.com/ads/image/?d=AQLrS1u3QLwzVbVK-LM6R013z0uJ73bWeaMA1F6ljJCOy-erAsoPdFDXkrE1eWW2P__nhaKYNRwlr3gS58jOoeR0Ug5mReylKb3n1ErviZHmjyhlO4GYQSjs3EZzmJ-ZYAlvruBNRFVS73n_nrXTzQxp,-
앞치마 콘텐츠조회3,https://www.facebook.com/ads/image/?d=AQKuM0wKMnDhjpLfF4RMJcLckGaVroHK8sVyx_dHEjxQFvf-CQiLWXBQVkOzxbI9MkAl3q_8R0rHeeRwCOJGXaIlgsr3cs6EJ63Ac6gpDbyuTZDzgk2cn1SqGn_azxbpVgZWrAyLcRIUVlgu5WhOt5Tp,-
앞치마 콘텐츠조회3,https://www.facebook.com/ads/image/?d=AQLQSAju1ufdpjMGwMWWtf0cExZ5cBTiNGMwXNqAzb_qJmC_R9rqFHaatoDvMWVFuj8N2NXGHXGDMa_PYpfDqMxce-33_985oBUOrMrMegRjHw8iTKeZVGGwyQKv_QoG6jBu-CfhXcIYZCx6O36xtG2N,-
앞치마 콘텐츠조회3,https://www.facebook.com/ads/image/?d=AQLodpbqfWzBLLsufx0VAdgLZb8jd7SAIeLsblY1HvvUxadBlbdoPvjBAHecb0NQnQutMU4iZ0nK2oMKqGAkl-RloOIBPQRXyds15zuXHVVTD8zibYy3y-PW69wg5L6MXf-ejKulj4nqcxIf-M8Li0PV,-
이미지 24-11-25,https://www.facebook.com/ads/image/?d=AQLVy9ytVC_wKzsycGtCQXF26TzZMBdE734FxvCU7cEEKMRqYyNGZoFOZezyVqzjhzmZgLEnKSwR6muajh4zvA9XUr5tlfCtA394gX9PdWN0ELOBn-orEqpzH38XmLT06x21TwkB8Ecc_PYVCCPge4nG,-
이미지 24-11-25 -초록,https://www.facebook.com/ads/image/?d=AQJUr-8N0C2qWzwlIGzGfzDooCMG_zKAM1RHm7ii2qWzBzAjRpBlOkPS94CQmfNq7sEcKo0EtFzOqK6AA5jfGVECpHYBX1ktaYRbrWUXcMpwXX75x7frH68ev8y-AxYqNCKdOcYpnxtX9-m7IYEdZ1K2,-
이미지 24-11-25 -초록,https://www.facebook.com/ads/image/?d=AQKs6LkH5l-uU59EMLyuYRKsTY7Aks_0St3P4vulGDKF6hKImxUW7Y6l8Q4zYbqvBYsFt_hVM-jRN-6pTl2f52peqEeOy3lyD6199CqS-ue76sHSyerkUATZRZpTzcRbWvfS0ENVuLCJkN-lz4GOgRn6,-
이미지 24-11-25 -초록,https://www.facebook.com/ads/image/?d=AQL03lIp559oPYWtsYjPfunoI-ZmwKZzcyHldd2WP30bEKBMzs89_O3WmvFtVy_AOpJ_anYCia7N9SJ0Cvpkk1RLgoXL32FdgpMx66ngo7ycFgJpVgNkJ4zv9sLM7xxCmG_JeAIOKkSTmv8aQ8zc4THJ,-
이미지 24-11-25 -파랑,https://www.facebook.com/ads/image/?d=AQI0-lncUj4rcUssX3CUNOtyods0s8ol7n35I4hTpvYlXxlfYk-F7hSBOpwJny97T49_xhzT90-vx8fkZboaPtuQijqFJxU5K-1zHKC-yDvVrKsoF0EsiTkBTtVdS4dDd574E5rk8OvIfWeA8Z3rYMSc,-
이미지 24-11-25 -파랑,https://www.facebook.com/ads/image/?d=AQJwpnQF6NvuesFH5ZbPIIEwLifoDcc64J5A6CVh4IkUIo90zrR6i9fhT7QPrvRSailz-CcNKAaBWrki6Az0DgN-wIVFEJo8CkIq9fd2Fu7RajCKEmfQdQlumWHQ98px7ZneXSYd96iY2g_lK8A-gOqb,-
이미지 24-11-25 -파랑,https://www.facebook.com/ads/image/?d=AQKyU_FDJAahUS5eyZuhFRIV5pGevIAJTtnOTZuToYU5gHqnOWx8g_2k6FQefHtNed-BdZq5eM3SJgVKDCZBazaF8MzUik1nVrdU70hzZFT9lvwVjar6yK-rfdRTkZoeN_x9G0ekWgWGSy5G-_2KFdE_,-
잠옷 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQI_JW2_kNlwGWaegxU4X3jVCy2PzuEfPE_CLdFfFCCvzDKMtKdwrBVeJcXgLOq0PJyNcFghDU_VVT6kTEkptKSnG5Cu5j0NRIuMRDarIPA27WJi5CafQ19YnVTjUP8rzQEA3XOq3FeoUVX50CiwwiZ3,-
잠옷 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQKyjG0f1chBA8Urd4wsxk9zNRpbF6zXo792dVn8tz-AGn1quukOOJ37vrYyP5eEV06NP-anUvZnoqt0rb4Vq-Wym94X_YycDDxGJN0BonXqXXsmER6RWBamKjCLhzZqMyLxgEqoSrVb9x47E6vZgLkt,-
잠옷 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQLEHcmE2XEuzBkC6BHM_waA66VPJS-XKp_evLvtgnruWHuGG5xg42dNqYd_3FLS7Xxm__WV5-lmO6AxV-UIuvcUd7hhTsxkh7HMcfRmn2SH80U0A5F_envmMFqDshsvERguSEJ2hexiJvQUuQFmf_bm,-
잠옷 콘텐츠조회1,https://www.facebook.com/ads/image/?d=AQJRJ7Bi0TBDx6spN36nLbhGZonURFlsmVJV1rrVKJLSvP5I8X98YCJQRD5MIthPiXrja9xjmEzaLYWnrBPhLbUL9l5RZAMKx_kVVbs5sY7l8f8M_wm2dkmy38swIDRlbChJvf-lqyV_u_Irnzt7V4X_,-
잠옷 콘텐츠조회1,https://www.facebook.com/ads/image/?d=AQJo6w8HFsEsWljV6vo6UYic93boCyMhw757F9_ufz_UO4zyY299tbznE2UQF39YeFZ5ngyBNla6cm4_0dQNuHlAw064QFgWBWgKrfCS_jTv8nHnWKLc6bBepw1MK3Me8Mg-FEAoefu1mI7AU25P6_ab,-
