월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 3,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상4,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 이미지,46.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.48,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상4,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상6,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상7,45596.0,16549.0,466.0,0.0,0.0,2.82,98.0,0.0,0.0,0.0,0.18,중,3.14,상,5.52,상,-0.46,중,-0.46,중,0.23,중,-0.8,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상8,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-01,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 이미지,4832.0,1217.0,49.0,0.0,0.0,4.03,99.0,0.0,0.0,0.0,-0.44,중,-0.22,중,0.11,중,-0.46,중,-0.46,중,0.56,중,-0.79,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,수동 데이지,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,80193.0,4647.0,117.0,6.0,170000.0,2.52,685.0,13366.0,5.13,212.0,0.71,중,0.53,중,1.0,중,1.02,상,0.85,중,0.14,중,-0.08,중,0.47,중,0.07,중,0.06,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,수동 데이지,이미지 24-09-25 - 사본,16717.0,1178.0,15.0,4.0,112200.0,1.27,1114.0,4179.0,26.67,671.0,-0.26,중,-0.23,중,-0.33,중,0.53,중,0.41,중,-0.2,중,0.44,중,-0.24,중,1.97,상,0.64,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,수동_호랑이,이미지,139442.0,14166.0,293.0,8.0,342700.0,2.07,476.0,17430.0,2.73,246.0,1.62,상,2.62,상,3.28,상,1.51,상,2.19,상,0.02,중,-0.34,중,0.79,중,-0.14,중,0.1,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,379193.0,32280.0,529.0,35.0,1101100.0,1.64,717.0,10834.0,6.62,290.0,5.28,상,6.59,상,6.34,상,8.17,상,8.04,상,-0.1,중,-0.04,중,0.27,중,0.2,중,0.16,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 나경 자막 뿌꾸,3840.0,168.0,2.0,0.0,0.0,1.19,1920.0,0.0,0.0,0.0,-0.45,중,-0.45,중,-0.5,중,-0.46,중,-0.46,중,-0.22,중,1.42,상,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 애기 더빙,242163.0,17251.0,249.0,20.0,593100.0,1.44,973.0,12108.0,8.03,245.0,3.19,상,3.29,상,2.71,상,4.47,상,4.12,상,-0.15,중,0.27,중,0.37,중,0.33,중,0.1,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 화이트톤 더빙,92783.0,5670.0,136.0,11.0,375600.0,2.4,682.0,8435.0,8.09,405.0,0.91,중,0.75,중,1.24,상,2.25,상,2.44,상,0.11,중,-0.09,중,0.09,중,0.33,중,0.3,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-09-25,15148.0,1689.0,25.0,3.0,71200.0,1.48,606.0,5049.0,12.0,470.0,-0.28,중,-0.12,중,-0.2,중,0.28,중,0.09,중,-0.14,중,-0.18,중,-0.18,중,0.68,중,0.38,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25,6012.0,395.0,7.0,0.0,0.0,1.77,859.0,0.0,0.0,0.0,-0.42,중,-0.4,중,-0.43,중,-0.46,중,-0.46,중,-0.06,중,0.13,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -노랑,2937.0,252.0,1.0,0.0,0.0,0.4,2937.0,0.0,0.0,0.0,-0.47,중,-0.43,중,-0.51,중,-0.46,중,-0.46,중,-0.43,중,2.66,상,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -초록,18449.0,1565.0,18.0,2.0,76800.0,1.15,1025.0,9224.0,11.11,416.0,-0.23,중,-0.15,중,-0.29,중,0.04,중,0.13,중,-0.23,중,0.33,중,0.15,중,0.6,중,0.32,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -파랑,6367.0,403.0,4.0,1.0,17800.0,0.99,1592.0,6367.0,25.0,280.0,-0.41,중,-0.4,중,-0.47,중,-0.21,중,-0.32,중,-0.27,중,1.02,상,-0.07,중,1.82,상,0.15,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상4,21.0,1.0,1.0,0.0,0.0,100.0,21.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.51,중,-0.46,중,-0.46,중,26.78,상,-0.89,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 이미지,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
