Day,funnel,Total users,New users,Returning users,New user %
2025-07-04,유입,1245,347,898,27.8714859437751
2025-07-04,활동,546,0,546,0.0
2025-07-05,기타,450,0,450,0.0
2025-07-05,유입,1196,353,843,29.515050167224082
2025-07-05,활동,458,0,458,0.0
2025-07-06,기타,542,0,542,0.0
2025-07-06,유입,1305,376,929,28.812260536398465
2025-07-06,활동,527,0,527,0.0
2025-07-07,구매완료,5,0,5,0.0
2025-07-07,기타,498,0,498,0.0
2025-07-07,유입,1143,310,833,27.121609798775154
2025-07-07,활동,502,0,502,0.0
2025-07-08,구매완료,4,0,4,0.0
2025-07-08,기타,701,0,701,0.0
2025-07-08,유입,1670,483,1187,28.92215568862275
2025-07-08,활동,719,0,719,0.0
2025-07-09,구매완료,1,0,1,0.0
2025-07-09,기타,561,0,561,0.0
2025-07-09,유입,1413,414,999,29.29936305732484
2025-07-09,활동,568,0,568,0.0
2025-07-10,구매완료,5,0,5,0.0
2025-07-10,기타,703,0,703,0.0
2025-07-10,유입,1803,527,1276,29.229062673322243
2025-07-10,활동,708,0,708,0.0
2025-07-11,구매완료,2,0,2,0.0
2025-07-11,기타,584,0,584,0.0
2025-07-11,유입,1471,430,1041,29.231815091774305
2025-07-11,활동,620,0,620,0.0
2025-07-12,구매완료,1,0,1,0.0
2025-07-12,기타,564,0,564,0.0
2025-07-12,유입,1418,411,1007,28.984485190409025
2025-07-12,활동,597,0,597,0.0
2025-07-13,구매완료,5,0,5,0.0
2025-07-13,기타,565,0,565,0.0
2025-07-13,유입,1426,411,1015,28.821879382889197
2025-07-13,활동,612,0,612,0.0
2025-07-14,기타,511,0,511,0.0
2025-07-14,유입,1272,363,909,28.537735849056606
2025-07-14,활동,550,0,550,0.0
2025-07-15,기타,433,0,433,0.0
2025-07-15,유입,1072,308,764,28.73134328358209
2025-07-15,활동,449,0,449,0.0
2025-07-16,기타,459,0,459,0.0
2025-07-16,유입,1055,310,745,29.383886255924168
2025-07-16,활동,452,0,452,0.0
2025-07-17,구매완료,2,0,2,0.0
2025-07-17,기타,404,0,404,0.0
