funnel_stage,Total users,New users,Returning users,New user %,Returning user %,New user CVR,Returning user CVR
유입,39971,11528,28443,28.84,71.16,100.0,100.0
활동,12411,0,12411,0.0,100.0,0.0,43.63
관심,4455,0,4455,0.0,100.0,0.0,15.66
결제진행,532,0,532,0.0,100.0,0.0,1.87
구매완료,259,0,259,0.0,100.0,0.0,0.91
