월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,8267,97,2.0,0,0,0.0,0.0,4133.5,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,Desktop,구분필요,-,기타,기타,기타,441,8,1.0,0,0,0.0,0.0,441.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,Mobile app,구분필요,-,기타,기타,기타,3516,83,1.0,0,0,0.0,0.0,3516.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,Mobile web,구분필요,-,기타,기타,기타,27,2,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,663,4,1.0,0,0,0.0,0.0,663.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,Mobile app,구분필요,-,기타,기타,기타,7811,148,1.0,0,0,0.0,0.0,7811.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,Mobile web,구분필요,-,기타,기타,기타,29,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,Desktop,구분필요,-,기타,기타,기타,197,6,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,Mobile app,구분필요,-,기타,기타,기타,1703,43,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,Desktop,구분필요,-,기타,기타,기타,174,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,Mobile app,구분필요,-,기타,기타,기타,1552,48,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,Desktop,구분필요,-,기타,기타,기타,4,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,Mobile app,구분필요,-,기타,기타,기타,4623,139,11.0,0,0,0.0,0.0,420.27272727272725,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,1901,42,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,Desktop,구분필요,-,기타,기타,기타,10,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,1817,52,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,19,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,Desktop,구분필요,-,기타,기타,기타,1,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,Mobile app,구분필요,-,기타,기타,기타,3183,184,8.0,0,0,0.0,0.0,397.875,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,Mobile web,구분필요,-,기타,기타,기타,11,6,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,51,12,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,1393,43,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,Mobile web,구분필요,-,기타,기타,기타,0,2,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,29,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,7427,124,3.0,0,0,0.0,0.0,2475.6666666666665,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,58,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,Mobile app,구분필요,-,기타,기타,기타,7541,186,2.0,0,0,0.0,0.0,3770.5,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,4538,82,3.0,1,671875,14805.53107095637,4538.0,1512.6666666666667,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,4457,139,3.0,0,0,0.0,0.0,1485.6666666666667,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,43,3,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_테스트5,Desktop,구분필요,-,기타,기타,기타,7,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_테스트5,Mobile app,구분필요,-,기타,기타,기타,9933,752,29.0,0,0,0.0,0.0,342.51724137931035,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_테스트5,Mobile web,구분필요,-,기타,기타,기타,20,10,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,1,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,4776,93,2.0,0,0,0.0,0.0,2388.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_폴더영상,Mobile web,구분필요,-,기타,기타,기타,40,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,30,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,7671,176,4.0,1,671875,8758.63642289141,7671.0,1917.75,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,30,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,241220_문어발전단지,Mobile app,구분필요,-,기타,기타,기타,14780,152,2.0,0,0,0.0,0.0,7390.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,241220_문어발전단지,Mobile web,구분필요,-,기타,기타,기타,89,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,4,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,5578,129,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_검색기록,Mobile web,구분필요,-,기타,기타,기타,8,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,5350,112,1.0,0,0,0.0,0.0,5350.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,120,2,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_테스트5,Desktop,구분필요,-,기타,기타,기타,3,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_테스트5,Mobile app,구분필요,-,기타,기타,기타,12093,790,45.0,0,0,0.0,0.0,268.73333333333335,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_테스트5,Mobile web,구분필요,-,기타,기타,기타,8,3,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,9,3,0.0,0,0,0.0,0.0,0.0,웹,전환
