브랜드명,일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,예측_CPC,type
기타,2025-11-30,14004.0,161.0,4.0,1.0,671875.0,4797.736361039702,14004.0,3501.0,actual
기타,2025-12-01,108722.0,1399.0,25.0,1.0,671875.0,617.9752028108386,108722.0,4348.88,actual
기타,2025-12-02,103401.0,1260.0,29.0,4.0,2687500.0,2599.1044574037,25850.25,3565.551724137931,actual
기타,2025-12-03,98374.0,1192.0,24.0,1.0,671875.0,682.9802590115274,98374.0,4098.916666666667,actual
기타,2025-12-04,71625.0,954.0,15.0,3.0,2015625.0,2814.13612565445,23875.0,4775.0,actual
기타,2025-12-05,62238.0,806.0,10.0,1.0,671875.0,1079.525370352518,62238.0,6223.8,actual
기타,2025-12-06,61879.0,747.0,13.0,1.0,671875.0,1085.7883934775934,61879.0,4759.923076923077,actual
기타,2025-12-07,90452.0,936.0,19.0,1.0,671875.0,742.7972847477115,90452.0,4760.631578947368,actual
기타,2025-12-08,85742.0,988.0,29.0,2.0,1343750.0,1567.2016048144433,42871.0,2956.6206896551726,actual
기타,2025-12-09,75171.0,811.0,13.0,1.0,671875.0,893.7954796397546,75171.0,5782.384615384615,actual
기타,2025-12-10,72868.0,1047.0,13.0,0.0,0.0,0.0,0.0,5605.2307692307695,actual
기타,2025-12-11,51953.0,801.0,11.0,1.0,671875.0,1293.2361942524974,51953.0,4723.0,actual
기타,2025-12-12,72098.0,2113.0,29.0,0.0,0.0,0.0,0.0,2486.137931034483,actual
기타,2025-12-13,72259.0,911.0,16.0,2.0,1343750.0,1859.6299422909258,36129.5,4516.1875,actual
기타,2025-12-14,100595.0,1200.0,41.0,0.0,0.0,0.0,0.0,2453.5365853658536,actual
기타,2025-12-15,84329.0,857.0,19.0,0.0,0.0,0.0,0.0,4438.368421052632,actual
기타,2025-12-16,66506.0,666.0,18.0,1.0,671875.0,1010.2471957417375,66506.0,3694.777777777778,actual
기타,2025-12-17,71767.0,953.0,20.0,0.0,0.0,0.0,0.0,3588.35,actual
기타,2025-12-18,73109.0,1023.0,22.0,0.0,0.0,0.0,0.0,3323.1363636363635,actual
기타,2025-12-19,59437.0,858.0,16.0,0.0,0.0,0.0,0.0,3714.8125,actual
기타,2025-12-20,68357.0,984.0,13.0,0.0,0.0,0.0,0.0,5258.2307692307695,actual
기타,2025-12-21,88358.0,1256.0,25.0,0.0,0.0,0.0,0.0,3534.32,actual
기타,2025-12-22,72879.0,885.0,22.0,2.0,1343750.0,1843.8096022173743,36439.5,3312.681818181818,actual
기타,2025-12-23,77348.0,967.0,24.0,2.0,1343750.0,1737.27827480995,38674.0,3222.8333333333335,actual
기타,2025-12-24,63531.0,838.0,25.0,1.0,671875.0,1057.5545796540273,63531.0,2541.24,actual
기타,2025-12-25,56850.0,924.0,19.0,0.0,0.0,0.0,0.0,2992.1052631578946,actual
기타,2025-12-26,48128.0,671.0,14.0,2.0,1343750.0,2792.033743351064,24064.0,3437.714285714286,actual
기타,2025-12-27,43140.0,690.0,23.0,2.0,1343750.0,3114.8585999072784,21570.0,1875.6521739130435,actual
기타,2025-12-28,73653.0,1289.0,28.0,1.0,671875.0,912.2167460931665,73653.0,2630.464285714286,actual
기타,2025-12-29,6697.0,131.0,1.0,0.0,0.0,0.0,0.0,6697.0,actual
기타,2025-12-30,77807.77377577963,546.0367013349482,15.8031860859301,1.5479290483117931,1040014.829334486,1336.646428583755,50265.72365228146,4923.549805254364,forecast
기타,2025-12-31,71557.56317568716,466.7612389941745,9.19027300740802,1.8558423722700528,1246894.0938689418,1742.504968772601,38557.996220421715,7786.228234787653,forecast
기타,2026-01-01,66780.34943151438,728.9696060073594,10.343406570576695,1.1216833183301937,753630.9795030989,1128.5220666237667,59535.831852191295,6456.320649860238,forecast
기타,2026-01-02,66668.83924507855,650.0826883953487,13.11126106737237,1.607123836076716,1079786.3273640436,1619.626709555698,41483.32427688299,5084.853310638841,forecast
기타,2026-01-03,64285.02341555229,1308.972299079447,8.95888551015974,1.6187972788322618,1087629.4217154258,1691.886171814474,39711.595921340464,7175.560324177652,forecast
기타,2026-01-04,82088.71417089172,1074.090134563583,19.262101548530083,1.8297603831454028,1229370.2574258174,1497.6117848143203,44863.095150076,4261.6696814764755,forecast
기타,2026-01-05,78074.04934129624,536.6720864868075,18.339178187780806,1.3547011319782727,910189.8230479021,1165.8032735935847,57631.936298218454,4257.227261869134,forecast
기타,2026-01-06,79079.24579143568,432.7871480491012,12.895993133608306,1.5658452157320597,1052052.2543199775,1330.377197949851,50502.5943796525,6132.078776108131,forecast
기타,2026-01-07,72829.03519133598,353.5116857083374,6.283080055062069,1.8737585396960452,1258931.5188582805,1728.612105804812,38867.88700274586,11591.295121675244,forecast
기타,2026-01-08,68051.82144717597,615.7200527215219,7.436213618240325,1.1395994857547493,765668.4044914723,1125.1255120126489,59715.55998211573,9151.407549703968,forecast
기타,2026-01-09,67940.31126070654,536.833135109598,10.204068115014788,1.625040003502008,1091823.7523529115,1607.0337802299275,41808.39309450427,6658.159323802993,forecast
기타,2026-01-10,65556.49543120142,1195.7227457937147,6.051692557812279,1.6367134462567705,1099666.8467037678,1677.4338522379044,40053.74036678916,10832.753780026866,forecast
기타,2026-01-11,83360.18618654496,960.8405812767165,16.35490859618934,1.8476765505697352,1241407.6824140407,1489.209344657647,45116.22240420849,5096.9521288530905,forecast
