일 구분,channel,비용_예측,노출_예측,클릭_예측,전환수_예측,전환값_예측,type,model
2025-11-03,메타_도달,40340.0,1804,0,0.0,0.0,actual,actual
2025-11-04,메타_도달,40619.0,1637,0,0.0,0.0,actual,actual
2025-11-05,메타_도달,9048.0,293,0,0.0,0.0,actual,actual
2025-11-06,메타_도달,0.0,0,0,0.0,0.0,actual,actual
2025-11-07,메타_도달,0.0,0,0,0.0,0.0,actual,actual
2025-11-08,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-09,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-10,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-11,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-12,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-13,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-14,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-15,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-16,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-17,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-18,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-19,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-20,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
2025-11-21,메타_도달,24739.285714285714,923,0,0.0,0.0,forecast,simple_ma
