월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 2. 1,2025. 2. 3,앳드맹,기타,파트너쉽,메타_전환,2025-02-05,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,29764,2477,145,4,666400,5.85,205.0,7441.0,2.76,2239.0,2.12,상,2.06,상,1.86,상,2.91,상,3.05,상,0.4,중,-0.32,중,0.86,중,0.09,중,0.42,중
2025. 2. 1,2025. 2. 3,앳드맹,기타,파트너쉽,메타_전환,2025-02-06,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,33409,2815,185,13,2214250,6.57,181.0,2570.0,7.03,6628.0,2.47,상,2.42,상,2.51,상,10.23,상,10.85,상,0.56,중,-0.37,중,0.07,중,0.48,중,1.56,상
2025. 2. 1,2025. 2. 3,앳드맹,기타,파트너쉽,메타_전환,2025-02-07,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,29181,2671,179,3,499800,6.7,163.0,9727.0,1.68,1713.0,2.07,상,2.26,상,2.42,상,2.1,상,2.21,상,0.59,중,-0.42,중,1.24,상,-0.01,중,0.28,중
2025. 2. 1,2025. 2. 3,앳드맹,기타,파트너쉽,메타_전환,2025-02-08,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,27816,2498,156,6,976650,6.24,178.0,4636.0,3.85,3511.0,1.94,상,2.08,상,2.04,상,4.54,상,4.61,상,0.49,중,-0.38,중,0.41,중,0.19,중,0.75,중
2025. 2. 1,2025. 2. 3,앳드맹,기타,파트너쉽,메타_전환,2025-02-09,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,34622,3268,196,6,953700,6.0,177.0,5770.0,3.06,2755.0,2.59,상,2.9,상,2.69,상,4.54,상,4.49,상,0.43,중,-0.38,중,0.59,중,0.12,중,0.55,중
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-10,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,33291,2700,184,6,953700,6.81,181.0,5548.0,3.26,2865.0,2.46,상,2.3,상,2.5,상,4.54,상,4.49,상,0.61,중,-0.37,중,0.56,중,0.14,중,0.58,중
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-11,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,34094,2891,177,2,225600,6.12,193.0,17047.0,1.13,662.0,2.54,상,2.5,상,2.38,상,1.28,상,0.82,중,0.46,중,-0.34,중,2.43,상,-0.06,중,0.01,중
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-12,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,31103,2891,177,10,1641050,6.12,176.0,3110.0,5.65,5276.0,2.25,상,2.5,상,2.38,상,7.79,상,7.96,상,0.46,중,-0.38,중,0.16,중,0.35,중,1.21,상
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-13,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,33125,2696,164,5,828000,6.08,202.0,6625.0,3.05,2500.0,2.44,상,2.29,상,2.17,상,3.72,상,3.86,상,0.45,중,-0.32,중,0.73,중,0.12,중,0.49,중
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-14,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,29295,2559,130,3,496800,5.08,225.0,9765.0,2.31,1696.0,2.08,상,2.14,상,1.61,상,2.1,상,2.19,상,0.22,중,-0.27,중,1.24,상,0.05,중,0.28,중
