유형구분,일자,전환값,Z_Score
메타_전환,2025-06-23,4786.05,6.064849642268959
메타_전환,2025-09-30,3499.1,4.285132586431013
메타_전환,2025-09-19,3404.84,4.154780879151566
메타_전환,2025-11-18,2977.2,3.563399549839208
메타_전환,2025-10-07,2877.3,3.4252483132890625
메타_전환,2025-11-24,2713.0,3.198038621945829
메타_전환,2025-10-03,2613.06,3.059832069585252
메타_전환,2025-09-20,2598.95,3.0403194174558967
