일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,type
2025-12-07,310228.85334378044,18910.914212694373,1076.8528510682045,7.677450198178215,921760.3975837736,297.1227168745403,40407.79755463536,forecast
2025-12-08,282391.62191773334,17246.887699191735,939.69133386473,8.14889231851097,1033515.9737125755,365.9867692582114,34653.98865024322,forecast
2025-12-09,320069.02814897354,20410.66137365617,1122.3257127253337,10.929809397985695,1139200.1417685489,355.923267039233,29284.04480758471,forecast
2025-12-10,346660.4790365753,23679.310788051396,1391.7866400699922,7.4981803102846,976536.2615926397,281.6981803944279,46232.61440660361,forecast
2025-12-11,336593.9767961796,22951.70659210862,1388.9293012914993,9.498978430146034,1253283.727047579,372.3428859235023,35434.75535516138,forecast
2025-12-12,336280.15814239066,23859.605389956007,1486.8250635327788,7.866834443448097,967853.0894838097,287.81153631847434,42746.566050142574,forecast
2025-12-13,323102.8387762838,25022.592996413674,1642.8244559433174,6.89663324330724,817994.2418557047,253.1683859398349,46849.357850054635,forecast
2025-12-14,355660.57204536354,28038.719061778695,1831.9668282996045,7.652588106837631,921076.8177522712,258.97636402462695,46475.85458409539,forecast
2025-12-15,330874.4314986779,26497.96255428774,1715.2617679492791,8.124030227159691,1032832.3938800446,312.15237430160016,40727.868095877035,forecast
2025-12-16,370256.4710761434,29651.30488436816,1906.6199602689594,10.904947306632533,1138516.5619358048,307.49403477722564,33953.072918651196,forecast
2025-12-17,397117.90914966504,32768.02472004157,2172.4538753386905,7.473318218933147,975852.6817602516,245.73373783363525,53138.0970963599,forecast
2025-12-18,385835.5593637048,31742.318367456835,2153.262329561108,9.474116338799393,1252600.1472153459,324.646113303049,40725.229199855894,forecast
2025-12-19,382807.6379916201,32204.59762548835,2222.0336753162937,7.841972352097816,967169.5096512566,252.65157057091648,48815.22413034455,forecast
2025-12-20,365445.0065544042,32776.553137700714,2336.313836412487,6.871771151952912,817310.662023027,223.64805849422734,53180.61362543296,forecast
2025-12-21,392412.34526258,35061.818772718565,2471.61442403851,7.627726015481228,920393.2379194783,234.54747258361698,51445.52183260649,forecast
2025-12-22,360734.4836752198,32659.375546600237,2289.686063982116,8.099168135801007,1032148.814047213,286.124243940174,44539.69563622885,forecast
2025-12-23,392062.38828039705,34832.47336635293,2405.434831440186,10.880085215279374,1137832.9821030605,290.2173266590672,36034.863746269824,forecast
2025-12-24,409877.9268829814,36865.6885498919,2586.502540847118,7.4484561275793055,975169.1019278633,237.91695965278717,55028.57503118418,forecast
2025-12-25,388756.031784222,34671.22718927094,2474.8254473656616,9.449254247440933,1251916.5673825385,322.031419457798,41141.45112451659,forecast
2025-12-26,375315.51284246275,33899.83455868437,2445.0067501657454,7.817110260747535,966485.9298187037,257.51291826415456,48012.05308911327,forecast
2025-12-27,347204.71927025286,33195.408742209285,2456.349864460225,6.84690906060335,816627.0821906968,235.20045577348876,50709.70217321057,forecast
2025-12-28,363336.7004909405,34185.16573312599,2486.228538696196,7.602863924132734,919709.6580873308,253.1287527091591,47789.45199027571,forecast
2025-12-29,320989.2574047695,30492.507478317344,2198.3198601280897,8.074306044455012,1031465.2342151992,321.3394873568978,39754.40807389351,forecast
2025-12-30,342064.55426412757,31405.384987094556,2209.4790051422137,10.855223123927818,1137149.4022706035,332.43707601242585,31511.51757628323,forecast
2025-12-31,350287.58229438524,32232.788800150767,2289.2774652906746,7.423594036227852,974485.5220954751,278.1958514522812,47185.71362940217,forecast
2026-01-01,320462.2643309553,28910.49133767839,2081.520288368728,9.42439215609429,1251232.9875503052,390.44627927177805,34003.49423317748,forecast
2026-01-02,299416.6103190203,27111.415504610777,1962.5786825063083,7.792248169401337,965802.3499872681,322.5613799308702,38424.93254960383,forecast
