광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
1.브랜디드-PC-스스 1위_1000원,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,77.0,283.0,1.0,0.0,0.0,0.0,0.0
1.브랜디드-PC-스스 1위_1000원,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,968.0,214.0,2.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외-M,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,2134.0,123.0,6.0,1.0,28000.0,1312.0899718837863,2134.0
1.브랜디드-주요키워드제외-M,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,759.0,123.0,4.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외-M,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,24750.0,1190.0,73.0,19.0,585900.0,2367.272727272727,1302.6315789473683
1.브랜디드-주요키워드제외-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,242.0,34.0,2.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,440.0,15.0,1.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,4499.0,240.0,31.0,5.0,119320.0,2652.144921093576,899.8
1.브랜디드-주요키워드제외-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,561.0,10.0,3.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,14.0,0.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,572.0,29.0,2.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외_MO_1위,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,880.0,180.0,16.0,6.0,200460.0,22779.545454545452,146.66666666666666
1.브랜디드-주요키워드제외_MO_1위,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,109.0,0.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외_MO_1위,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,6424.0,1152.0,89.0,17.0,670140.0,10431.818181818182,377.88235294117646
1.브랜디드-주요키워드제외_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,1551.0,26.0,3.0,1.0,28000.0,1805.2869116698905,1551.0
1.브랜디드-주요키워드제외_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,55.0,97.0,1.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,3443.0,98.0,8.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외_PC_1위1000,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,8.0,0.0,0.0,0.0,0.0,0.0
1.브랜디드-주요키워드제외_PC_1위1000,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,55.0,15.0,1.0,0.0,0.0,0.0,0.0
