광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
5.사과식초_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,1091.0,0.0,0.0,0.0,0.0,0.0
5.사과식초_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,547.0,0.0,0.0,0.0,0.0,0.0
5.사과식초_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,749.0,0.0,0.0,0.0,0.0,0.0
6.보색_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.보색_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7.퍼퓸헤어오일_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,25476.0,4455.0,7.0,0.0,0.0,0.0,0.0
7.퍼퓸헤어오일_MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,4246.0,3027.0,1.0,0.0,0.0,0.0,0.0
7.퍼퓸헤어오일_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,151063.0,12234.0,43.0,1.0,29000.0,19.197288548486394,151063.0
7.퍼퓸헤어오일_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,556.0,0.0,0.0,0.0,0.0,0.0
7.퍼퓸헤어오일_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,246.0,0.0,0.0,0.0,0.0,0.0
7.퍼퓸헤어오일_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,817.0,0.0,0.0,0.0,0.0,0.0
8.폴리쉬오일_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,331.0,0.0,0.0,0.0,0.0,0.0
8.폴리쉬오일_MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,45.0,0.0,0.0,0.0,0.0,0.0
8.폴리쉬오일_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,990.0,909.0,3.0,0.0,0.0,0.0,0.0
8.폴리쉬오일_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,153.0,0.0,0.0,0.0,0.0,0.0
8.폴리쉬오일_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,115.0,0.0,0.0,0.0,0.0,0.0
8.폴리쉬오일_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,351.0,0.0,0.0,0.0,0.0,0.0
동영상 전환수 - 2024-08-14,FEMALE,구글_디맨드젠,리타겟팅,기존제품,기타,기타,1165898.65,389484.0,1710.0,59.82,1731687.54,148.52813664378118,19490.114510197258
동영상 전환수 - 2024-08-14,MALE,구글_디맨드젠,리타겟팅,기존제품,기타,기타,1144131.38,589453.0,1625.0,71.07,1730468.1400000001,151.24732790739472,16098.654565920922
동영상 전환수 - 2024-08-14,UNDETERMINED,구글_디맨드젠,리타겟팅,기존제품,기타,기타,80757.81999999999,42676.0,124.0,3.0,96400.0,119.3692449845724,26919.27333333333
디맨드젠-러그_매트_로브_룸슈즈,FEMALE,구글_디맨드젠,리타겟팅,기존제품,룸슈즈,기타,90501.16,26596.0,262.0,0.0,0.0,0.0,0.0
디맨드젠-러그_매트_로브_룸슈즈,MALE,구글_디맨드젠,리타겟팅,기존제품,룸슈즈,기타,34532.02,22952.0,145.0,0.0,0.0,0.0,0.0
디맨드젠-러그_매트_로브_룸슈즈,UNDETERMINED,구글_디맨드젠,리타겟팅,기존제품,룸슈즈,기타,10934.789999999999,12379.0,62.0,0.0,0.0,0.0,0.0
쇼핑캠페인-러그_발매트_로브_룸슈즈,FEMALE,구분필요,리타겟팅,기존제품,발매트,기타,13239.0,1544.0,16.0,0.0,0.0,0.0,0.0
쇼핑캠페인-러그_발매트_로브_룸슈즈,MALE,구분필요,리타겟팅,기존제품,발매트,기타,2980.0,758.0,4.0,0.0,0.0,0.0,0.0
쇼핑캠페인-러그_발매트_로브_룸슈즈,UNDETERMINED,구분필요,리타겟팅,기존제품,발매트,기타,6152.0,2148.0,7.0,0.0,0.0,0.0,0.0
이미지,FEMALE,구글_디맨드젠,리타겟팅,기존제품,기타,기타,336262.15,69930.0,1950.0,19.31,618335.4199999999,183.88493025456475,17413.886587260487
이미지,MALE,구글_디맨드젠,리타겟팅,기존제품,기타,기타,43271.8,12151.0,274.0,0.0,0.0,0.0,0.0
이미지,UNDETERMINED,구글_디맨드젠,리타겟팅,기존제품,기타,기타,1530.3600000000001,443.0,7.0,0.0,0.0,0.0,0.0
