유형구분,최근_30일,이전_30일,변화율
구분필요,3757564.5300000003,20218100.64,-81.41484901620314
네이버_쇼핑검색,15443400.0,20755140.0,-25.592407471113184
네이버_신제품검색광고,27026200.0,15109600.0,78.86773971514799
