광고세트,연령,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
마우스패드 100원 - 사본,25-34,Female,메타_트래픽,타겟팅,기존제품,파우치,기타,132904.0,18815,354.0,7.0,21700.0,16.32757479082646,18986.285714285714
마우스패드 100원 - 사본,25-34,Male,메타_트래픽,타겟팅,기존제품,파우치,기타,41360.0,7057,120.0,1.0,3100.0,7.495164410058027,41360.0
마우스패드 100원 - 사본,25-34,Unknown,메타_트래픽,타겟팅,기존제품,파우치,기타,1250.0,150,3.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,35-44,Female,메타_트래픽,타겟팅,기존제품,파우치,기타,127386.0,11968,336.0,3.0,9300.0,7.300645282841129,42462.0
마우스패드 100원 - 사본,35-44,Male,메타_트래픽,타겟팅,기존제품,파우치,기타,51530.0,7175,129.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,35-44,Unknown,메타_트래픽,타겟팅,기존제품,파우치,기타,779.0,128,2.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,45-54,Female,메타_트래픽,타겟팅,기존제품,파우치,기타,68986.0,7108,183.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,45-54,Male,메타_트래픽,타겟팅,기존제품,파우치,기타,40725.0,5260,89.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,45-54,Unknown,메타_트래픽,타겟팅,기존제품,파우치,기타,1044.0,67,3.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,55-64,Female,메타_트래픽,타겟팅,기존제품,파우치,기타,89530.0,4662,240.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,55-64,Male,메타_트래픽,타겟팅,기존제품,파우치,기타,40949.0,3471,116.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,55-64,Unknown,메타_트래픽,타겟팅,기존제품,파우치,기타,468.0,31,0.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,65+,Female,메타_트래픽,타겟팅,기존제품,파우치,기타,56030.0,1791,144.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,65+,Male,메타_트래픽,타겟팅,기존제품,파우치,기타,29637.0,2001,78.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,65+,Unknown,메타_트래픽,타겟팅,기존제품,파우치,기타,118.0,32,1.0,0.0,0.0,0.0,0.0
마우스패드 100원 - 사본,Unknown,Unknown,메타_트래픽,타겟팅,기존제품,파우치,기타,0.0,0,0.0,0.0,0.0,0.0,0.0
매니저 이미지-1(래빗) - 사본,18-24,Female,메타_트래픽,타겟팅,기존제품,기타,기타,67258.0,13505,317.0,3.0,61200.0,90.99289303874633,22419.333333333332
매니저 이미지-1(래빗) - 사본,25-34,Female,메타_트래픽,타겟팅,기존제품,기타,기타,312069.0,40525,1606.0,3.0,86000.0,27.55800800464,104023.0
매니저 이미지-1(래빗) - 사본,35-44,Female,메타_트래픽,타겟팅,기존제품,기타,기타,188465.0,18103,928.0,6.0,115900.0,61.49682965006765,31410.833333333332
매니저 이미지-1(래빗) - 사본,45-54,Female,메타_트래픽,타겟팅,기존제품,기타,기타,36945.0,3142,150.0,0.0,0.0,0.0,0.0
매니저 이미지-1(래빗) - 사본,55-64,Female,메타_트래픽,타겟팅,기존제품,기타,기타,7599.0,626,44.0,1.0,14800.0,194.76246874588762,7599.0
매니저 이미지-1(래빗) - 사본,65+,Female,메타_트래픽,타겟팅,기존제품,기타,기타,2159.0,262,7.0,0.0,0.0,0.0,0.0
매니저 이미지-1(래빗) - 사본,Unknown,Unknown,메타_트래픽,타겟팅,기존제품,기타,기타,0.0,0,0.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,18-24,Female,메타_전환,타겟팅,기존제품,발매트,기타,13445.0,1187,12.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,18-24,Male,메타_전환,타겟팅,기존제품,발매트,기타,8926.0,703,8.0,1.0,29600.0,331.6155052655165,8926.0
발매트-데이지-2554-여성,18-24,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,27.0,2,0.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,25-34,Female,메타_전환,타겟팅,기존제품,발매트,기타,220431.0,11903,197.0,6.0,137300.0,62.287064886517776,36738.5
발매트-데이지-2554-여성,25-34,Male,메타_전환,타겟팅,기존제품,발매트,기타,119231.0,7771,107.0,3.0,47400.0,39.75476176497723,39743.666666666664
발매트-데이지-2554-여성,25-34,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,800.0,44,1.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,35-44,Female,메타_전환,타겟팅,기존제품,발매트,기타,285436.0,11371,243.0,16.0,571800.0,200.3251166636304,17839.75
발매트-데이지-2554-여성,35-44,Male,메타_전환,타겟팅,기존제품,발매트,기타,91227.0,4724,75.0,8.0,388200.0,425.531914893617,11403.375
발매트-데이지-2554-여성,35-44,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,643.0,33,0.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,45-54,Female,메타_전환,타겟팅,기존제품,발매트,기타,166499.0,4859,136.0,4.0,115400.0,69.30972558393745,41624.75
발매트-데이지-2554-여성,45-54,Male,메타_전환,타겟팅,기존제품,발매트,기타,34268.0,1300,32.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,45-54,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,210.0,14,0.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,55-64,Female,메타_전환,타겟팅,기존제품,발매트,기타,43284.0,1106,39.0,1.0,29600.0,68.38554662230848,43284.0
발매트-데이지-2554-여성,55-64,Male,메타_전환,타겟팅,기존제품,발매트,기타,11418.0,264,11.0,3.0,130600.0,1143.8080224207392,3806.0
발매트-데이지-2554-여성,55-64,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,113.0,6,1.0,1.0,37200.0,32920.35398230088,113.0
발매트-데이지-2554-여성,65+,Female,메타_전환,타겟팅,기존제품,발매트,기타,2664.0,87,3.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,65+,Male,메타_전환,타겟팅,기존제품,발매트,기타,1158.0,57,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,18-24,Female,메타_전환,타겟팅,기존제품,발매트,기타,5746.0,557,6.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,18-24,Male,메타_전환,타겟팅,기존제품,발매트,기타,1036.0,92,3.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,18-24,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,1.0,1,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,25-34,Female,메타_전환,타겟팅,기존제품,발매트,기타,144740.0,7785,201.0,7.0,189200.0,130.71714798949841,20677.14285714286
발매트-토마토-1844-여성,25-34,Male,메타_전환,타겟팅,기존제품,발매트,기타,7306.0,565,10.0,2.0,39600.0,542.0202573227484,3653.0
발매트-토마토-1844-여성,25-34,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,403.0,20,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,35-44,Female,메타_전환,타겟팅,기존제품,발매트,기타,263326.0,9514,278.0,10.0,415700.0,157.86515573851423,26332.6
발매트-토마토-1844-여성,35-44,Male,메타_전환,타겟팅,기존제품,발매트,기타,13568.0,666,14.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,35-44,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,422.0,18,1.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,45-54,Female,메타_전환,타겟팅,기존제품,발매트,기타,89489.0,1905,91.0,4.0,159200.0,177.8989596486719,22372.25
발매트-토마토-1844-여성,45-54,Male,메타_전환,타겟팅,기존제품,발매트,기타,7105.0,182,6.0,1.0,24800.0,349.0499648135116,7105.0
발매트-토마토-1844-여성,45-54,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,373.0,10,1.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,55-64,Female,메타_전환,타겟팅,기존제품,발매트,기타,29528.0,529,26.0,1.0,24800.0,83.98807911135194,29528.0
발매트-토마토-1844-여성,55-64,Male,메타_전환,타겟팅,기존제품,발매트,기타,3496.0,86,15.0,1.0,29600.0,846.6819221967963,3496.0
발매트-토마토-1844-여성,55-64,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,82.0,3,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,65+,Female,메타_전환,타겟팅,기존제품,발매트,기타,1836.0,63,4.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,65+,Male,메타_전환,타겟팅,기존제품,발매트,기타,228.0,18,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,65+,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,2.0,1,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,Unknown,Unknown,메타_전환,타겟팅,기존제품,발매트,기타,0.0,0,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,18-24,Female,메타_전환,타겟팅,기존제품,파우치,기타,2576.0,232,4.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,18-24,Male,메타_전환,타겟팅,기존제품,파우치,기타,96.0,14,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,18-24,Unknown,메타_전환,타겟팅,기존제품,파우치,기타,16.0,2,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,25-34,Female,메타_전환,타겟팅,기존제품,파우치,기타,9284.0,712,9.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,25-34,Male,메타_전환,타겟팅,기존제품,파우치,기타,588.0,67,1.0,1.0,19800.0,3367.3469387755104,588.0
보냉백-패드하우스-1865,25-34,Unknown,메타_전환,타겟팅,기존제품,파우치,기타,26.0,1,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,35-44,Female,메타_전환,타겟팅,기존제품,파우치,기타,25392.0,1244,13.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,35-44,Male,메타_전환,타겟팅,기존제품,파우치,기타,1182.0,49,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,35-44,Unknown,메타_전환,타겟팅,기존제품,파우치,기타,43.0,2,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,45-54,Female,메타_전환,타겟팅,기존제품,파우치,기타,89592.0,2743,50.0,2.0,74200.0,82.81989463344942,44796.0
보냉백-패드하우스-1865,45-54,Male,메타_전환,타겟팅,기존제품,파우치,기타,1874.0,83,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,45-54,Unknown,메타_전환,타겟팅,기존제품,파우치,기타,527.0,5,0.0,0.0,0.0,0.0,0.0
