유형구분,요일,평균_비용,평균_노출,평균_클릭,평균_전환수,평균_전환값,평균_ROAS,평균_CPA
전체,월요일,3014792.1067213113,330486.54098360654,3956.44262295082,175.4190163934426,5965487.122131147,197.87391338963062,17186.233104622563
전체,화요일,2992797.7421311475,296783.40983606555,3929.9180327868853,166.7275409836066,5606849.598196722,187.34475501856429,17950.230204771105
전체,수요일,2742955.2187096775,287699.67741935485,3658.2258064516127,153.8574193548387,5355445.3427419355,195.24363016255177,17827.903459004778
전체,목요일,2965856.6224590163,314083.0,3903.7868852459014,170.3273770491803,5848750.970491803,197.20275505572334,17412.68299812223
전체,금요일,2958055.5183606558,309513.39344262297,3910.2295081967213,158.8522950819672,5429496.37885246,183.54950896464132,18621.421345120067
전체,토요일,3002697.7868852457,299604.5081967213,4120.229508196721,161.75672131147542,5485249.124590164,182.67736262196786,18563.04803003093
전체,일요일,3277674.151147541,334282.4918032787,4542.9672131147545,175.72868852459018,5975264.046065574,182.30195469472105,18651.90128411439
메타_전환,월요일,23212.91965654707,1437.1473474394359,25.546764796074825,1.414596749463355,45695.10410916897,196.8520323391587,16409.56665944071
메타_전환,화요일,23888.411588253868,1444.2519734764762,26.44079570571519,1.4016419324281655,44676.45595200505,187.02145928351655,17043.162761883308
메타_전환,수요일,21960.571678321678,1352.3192943420215,24.287507946598854,1.31198347107438,43507.6784806103,198.11723992394423,16738.451483949124
메타_전환,목요일,23514.136377952756,1477.1722834645668,26.176220472440946,1.4233070866141733,46412.80393700788,197.3825582662066,16520.77517149812
메타_전환,금요일,22683.19255984144,1448.4544900137216,25.337551456014637,1.2986735782893735,42495.37993596585,187.3430286493274,17466.43108710965
메타_전환,토요일,24313.584253480556,1584.8055688910226,28.06417026724276,1.3704592734837575,44388.32725236038,182.5659548571333,17741.194301728163
메타_전환,일요일,25598.173879562604,1701.100415832435,29.376559371630986,1.4393962729092868,46921.342830740796,183.2995707096218,17783.96565375562
네이버_쇼핑검색,월요일,2291.3124755572935,193.79350801720767,1.9006648416112633,0.0422369964802503,4662.330856472428,203.47861351116921,54248.94444444444
네이버_쇼핑검색,화요일,2323.503448275862,216.60933062880324,2.0584178498985803,0.03894523326572008,4552.6085192697765,195.93723963043846,59660.791666666664
네이버_쇼핑검색,수요일,2149.4121295658165,200.8208132322536,1.7394900068917987,0.0461750516884907,4528.442453480358,210.68283700413977,46549.208955223876
네이버_쇼핑검색,목요일,2030.6007375125712,202.2185719074757,1.6151525310090513,0.04290982232651693,4338.216560509554,213.64202624213303,47322.51562499999
네이버_쇼핑검색,금요일,2020.4234677155032,177.6283185840708,1.5647328744673878,0.04260898066207801,3490.311373320223,172.75147656380793,47417.78461538462
네이버_쇼핑검색,토요일,2145.6035548686245,191.37480680061825,1.759659969088099,0.03863987635239567,3485.146831530139,162.43200304277715,55528.22
네이버_쇼핑검색,일요일,2134.3375295043274,193.04405979543665,1.8339889850511408,0.03461841070023604,3408.835562549174,159.7139869128775,61653.25
