광고세트,플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
매니저 이미지-1(래빗) - 사본,Instagram,메타_트래픽,타겟팅,기존제품,기타,기타,611784.0,75221.0,3042.0,13.0,277900.0,45.42452891870333,47060.307692307695
매니저 이미지-1(래빗) - 사본,Uncategorized,메타_트래픽,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,Audience Network,메타_전환,타겟팅,기존제품,발매트,기타,260.0,27.0,4.0,0.0,0.0,0.0,0.0
발매트-데이지-2554-여성,Facebook,메타_전환,타겟팅,기존제품,발매트,기타,113627.0,6852.0,99.0,4.0,118200.0,104.02457162470186,28406.75
발매트-데이지-2554-여성,Instagram,메타_전환,타겟팅,기존제품,발매트,기타,1422800.0,68807.0,1301.0,71.0,2445700.0,171.89344953612596,20039.436619718308
발매트-데이지-2554-여성,threads,메타_전환,타겟팅,기존제품,발매트,기타,11809.0,4279.0,22.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,Audience Network,메타_전환,타겟팅,기존제품,발매트,기타,4554.0,297.0,63.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,Facebook,메타_전환,타겟팅,기존제품,발매트,기타,62822.0,2650.0,41.0,2.0,69200.0,110.15249434911337,31411.0
발매트-토마토-1844-여성,Instagram,메타_전환,타겟팅,기존제품,발매트,기타,759267.0,35743.0,984.0,36.0,1227400.0,161.65591287386388,21090.75
발매트-토마토-1844-여성,Uncategorized,메타_전환,타겟팅,기존제품,발매트,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
발매트-토마토-1844-여성,threads,메타_전환,타겟팅,기존제품,발매트,기타,22746.0,7497.0,56.0,1.0,24800.0,109.03015914886134,22746.0
보냉백-패드하우스-1865,Audience Network,메타_전환,타겟팅,기존제품,파우치,기타,13.0,4.0,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,Facebook,메타_전환,타겟팅,기존제품,파우치,기타,5317.0,168.0,3.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,Instagram,메타_전환,타겟팅,기존제품,파우치,기타,158535.0,5716.0,93.0,3.0,94000.0,59.292900621313905,52845.0
블랭킷콘텐츠조회,Audience Network,메타_전환,타겟팅,기존제품,블랭킷,기타,363.0,402.0,2.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,Facebook,메타_전환,타겟팅,기존제품,블랭킷,기타,2910.0,2464.0,18.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,Instagram,메타_전환,타겟팅,기존제품,블랭킷,기타,55809.0,21402.0,177.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,Messenger,메타_전환,타겟팅,기존제품,블랭킷,기타,6.0,17.0,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,Uncategorized,메타_전환,타겟팅,기존제품,블랭킷,기타,1.0,1.0,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,threads,메타_전환,타겟팅,기존제품,블랭킷,기타,124.0,273.0,1.0,0.0,0.0,0.0,0.0
