일자,예측_비용,예측_노출,예측_클릭,예측_전환수,예측_전환값,예측_ROAS,예측_CPA,예측_CPC,type
2026-01-13,401662.87984139356,1563.3293632741534,49.94400090624559,8.004642598727743,5378119.2460202025,1338.9634730856596,50178.74001085742,8042.264787624671,forecast
2026-01-14,370415.6472635682,1167.0368877503429,16.87943551350373,9.527259691183884,6401127.605014171,1728.093198087679,38879.558159450076,21944.788791499082,forecast
2026-01-15,346532.30638391123,2477.6803013953727,22.645103329382405,5.880205449677369,3950763.0365019822,1140.0850551939789,58932.00660240953,15302.747854291294,forecast
2026-01-16,345973.67321148,2083.2942775858473,36.484375813379835,8.951611796269379,6014364.175618489,1738.387814249134,38649.316021017126,9482.78997511592,forecast
2026-01-17,334055.36092850135,5376.791888042013,15.722498027255995,8.353329398428933,5612393.18956944,1680.0787671749636,39990.684551638704,21246.964722106768,forecast
2026-01-18,423057.7737251653,4202.284865431661,67.23857821922454,9.402694679992388,6317435.488119885,1493.279613442096,44993.24801276093,6291.8905326318545,forecast
2026-01-19,402735.676169039,1512.4820904592311,62.62396141531423,7.050421113419865,4737001.685578972,1176.2061237382718,57122.21577835494,6431.015653866843,forecast
2026-01-20,408008.96227880847,994.0522224847696,35.408036144519514,8.105806715181398,5446088.886762501,1334.796386909015,50335.39246804971,11523.061053527546,forecast
2026-01-21,376761.7297009289,597.7597469637267,2.343470751773957,9.628423807622909,6469097.245746642,1717.026103177138,39130.15642317731,160770.8265254552,forecast
2026-01-22,352878.3888214436,1908.4031606082945,8.109138567638983,5.981369566121137,4018732.6772376387,1138.843523588835,58996.252433584705,43516.13748834803,forecast
2026-01-23,352319.7556487363,1514.0171367996595,21.948411051591943,9.052775912708455,6082333.816350994,1726.367516675703,38918.422265831556,16052.175932944456,forecast
2026-01-24,340401.44336586364,4807.5147472559165,1.1865332655186442,8.45449351487147,5680362.830304269,1668.7246605470505,40262.78366256913,286887.39983793977,forecast
2026-01-25,429403.85616254783,3633.007724639895,52.702613457520826,9.503858796434589,6385405.12885449,1487.0395403336433,45182.05345429169,8147.676708834457,forecast
2026-01-26,409081.7586063881,943.2049496699955,48.087996653568325,7.1515852298580596,4804971.326310884,1174.5748191461525,57201.54979045217,8506.941171899132,forecast
2026-01-27,414355.0447159816,424.7750817040235,20.872071382653704,8.206970831625855,5514058.5274986215,1330.7569433064864,50488.1829382468,19852.1285750461,forecast
2026-01-28,383107.8121383539,28.482606175299907,0.0,9.729587924076338,6537066.886488789,1706.325655434043,39375.54345856056,0.0,forecast
