월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-01,241227_테스트3,65+,구분필요,-,기타,기타,기타,1740,40,2.0,0,0,0.0,0.0,870.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,18-24,구분필요,-,기타,기타,기타,689,18,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,25-34,구분필요,-,기타,기타,기타,2700,74,2.0,0,0,0.0,0.0,1350.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,35-44,구분필요,-,기타,기타,기타,6461,68,3.0,1,671875,10398.93205386163,6461.0,2153.6666666666665,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,45-54,구분필요,-,기타,기타,기타,2356,27,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,55-64,구분필요,-,기타,기타,기타,165,5,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-01,[GM]241121_프라이싱_2_신디자인,65+,구분필요,-,기타,기타,기타,291,5,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,18-24,구분필요,-,기타,기타,기타,2822,34,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,25-34,구분필요,-,기타,기타,기타,4664,115,4.0,0,0,0.0,0.0,1166.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,35-44,구분필요,-,기타,기타,기타,1349,25,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,45-54,구분필요,-,기타,기타,기타,523,6,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,55-64,구분필요,-,기타,기타,기타,172,2,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241202_uiux db수집,65+,구분필요,-,기타,기타,기타,396,3,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,18-24,구분필요,-,기타,기타,기타,127,16,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,25-34,구분필요,-,기타,기타,기타,1877,62,1.0,0,0,0.0,0.0,1877.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,35-44,구분필요,-,기타,기타,기타,2833,48,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,45-54,구분필요,-,기타,기타,기타,1543,23,1.0,0,0,0.0,0.0,1543.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,55-64,구분필요,-,기타,기타,기타,3654,8,1.0,0,0,0.0,0.0,3654.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241220_문어발전단지,65+,구분필요,-,기타,기타,기타,56,3,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
