funnel_stage,Total users,New users,Returning users,New user %,Returning user %,New user CVR,Returning user CVR
유입,3340,937,2403,28.05,71.95,100.0,100.0
활동,1164,0,1164,0.0,100.0,0.0,48.44
관심,604,0,604,0.0,100.0,0.0,25.14
결제진행,93,0,93,0.0,100.0,0.0,3.87
구매완료,26,0,26,0.0,100.0,0.0,1.08
