Day,funnel,Total users,New users,Returning users,New user %
2026-01-03,관심,13,0,13,0.0
2026-01-03,구매완료,1,0,1,0.0
2026-01-03,유입,69,19,50,27.536231884057973
2026-01-03,활동,23,0,23,0.0
2026-01-04,결제진행,2,0,2,0.0
2026-01-04,관심,10,0,10,0.0
2026-01-04,유입,107,33,74,30.8411214953271
2026-01-04,활동,23,0,23,0.0
2026-01-05,관심,1,0,1,0.0
2026-01-05,유입,9,3,6,33.33333333333333
2026-01-05,활동,3,0,3,0.0
