ad_name,ad_id,preview_link,image_url,image_source
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 이미지_그로스메이커 | 일반인 | 브라운 | 251124,120236267212790106,https://fb.me/23sDsH2GmsogDT8,https://scontent-ssn1-1.xx.fbcdn.net/v/t45.1600-4/588616567_25363228276648726_7536986142597024251_n.png?stp=dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=890911&_nc_ohc=sgOQoE7HIRYQ7kNvwFhjQ9c&_nc_oc=AdnfkV1KQlak9Y9B1o739wS3pb2MbRzFytvxM6s4d7KgY2JBrtjwhe1ZpjGWHyjbWCQ&_nc_zt=1&_nc_ht=scontent-ssn1-1.xx&edm=AJcBmwoEAAAA&_nc_gid=4VcCtByK8LmpUKYQbSLMQA&_nc_tpa=Q5bMBQGoxBkYnHQANoCpHF3b8hhLsawXBSJIIG062I9xLqSx_Zc_bYr4Cb2WS8LytRnzEojWnjZN9rWNzA&oh=00_AflgvcROxibvaNmJfrn4h69-3IJ_cpWY9yJ7QR_mhUwFLg&oe=695A4560,asset_feed_hash
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 동영상_정방형_그로스메이커 | 일반인 | 베이비핑크 | 251117 - 사본,120235945272270106,https://fb.me/1OyxZvol05GwWdJ,https://www.facebook.com/ads/image/?d=AQJsNPJawwnPon68ZAq1jjEYOpur0N82mGYAuVgUyuNVDscEo58wbiT8LD8xg64_l1cS8ywHc4Hp88Jmi0uAZEGAOKAsivkNtOlFeDJa1tMCLyjR0JksY0c9iDNHTUoqO2PEMJWExZjwHye4oPafd_7S,video_data_image_url
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 동영상_정방형 | 모델 | 아이보리 | 251117,120235986746020106,https://fb.me/245xdRiDIqdOjcz,https://www.facebook.com/ads/image/?d=AQI_1cZlVrVjkxvjy02JJx2KhNlqjYu5vvGEE11yi8Pf4n1dnDO44jRLnVnrlAzsErgFtfCuk_cZUx3erZbKzbVWGuPgm_Wk_LbffLtKdMcUGyBgr14vl3vpvSs7IrbiPIo4Tk0v4W5uP77U7R-ONtx1,video_data_image_url
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 동영상_세로형 | 일반인 | 블랙 | 251117,120235963693800106,https://fb.me/1Re4ll6JZCviHSH,https://www.facebook.com/ads/image/?d=AQITjAfvAifZp-oygC5IXALf3hacLJGKKgCWoOtlnkRL_vmMdUUxkNj3E49sDH8FvsOtvMHX2f8TIMh_LUjFnsdRW-X0oGSzmCCxY58Nrr56C51VjvE0EDHo2FybCYZtC2Qm4DgolJLdFnx4j8Cm9UsI,video_data_image_url
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 동영상_정방형 | 일반인 | 아이보리 | 251117,120235986724290106,https://fb.me/22bKhOkHiatG0a5,https://www.facebook.com/ads/image/?d=AQIyHNBfNJKmwN6psu8gPJp7-sP5Qb_fHRhc29_MP6Ua3r5-gqeqJ4uK0u8Bo4DDw1_B375hq48RNFomd0Qf0lF1Tj5c5rvB4UizPs9uiU_OooT6wava4Xtq3iBsiWVKK7Jp5MjQsHz-KhtyODo1246H,video_data_image_url
미카스튜디오 오프라인 입점소식_게시물참여_251127,120236402388280106,https://fb.me/2kLm462wGq7otSW,https://external-ssn1-1.xx.fbcdn.net/emg1/v/t13/13939070267025334316?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKfC8q1QOfnnK8pn5YgMAiJszrEEwxs8wgDtni2LFNlaHoZDkAoWepmn4rirI3Ym59lRcIPN69ObWQwahAp4_3IDFMu84t3lAEiTCGG6F8YEvQSlXQKy4Zg62IERclMGZ3hbfoU98sRHhCuCjJGrasm&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p1200x1200_q75_tt6&edm=AAT1rw8EAAAA&_nc_gid=bOaDWjBg5yaBwz5AxX7Sow&_nc_oc=AdmjAlXSpejcdIAnzz4CjBrUiQUxG4A9uyb2cMKiaXUvFQF1wMP0K2ehILdX9m5n09s&ccb=13-1&oh=06_Q3-6ARas8G6c1Vwub6wiHdd_n8iKzHyn2cR8SSCqrBwMkjcK&oe=69567F28&_nc_sid=58080a,thumbnail_hires
미카스튜디오 오프라인 입점소식_게시물참여_251125,120236320603890106,https://fb.me/xWcauxyVjiWhHet,https://external-ssn1-1.xx.fbcdn.net/emg1/v/t13/7638264037654773182?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLzqv7Gvpgby4IAcF00jmpO4dn-5W3xp_Psztq63FLk4kc4JoE8ypxGA1EzqrrT69LFhREX8k4TzYLwu9kTXURbBZ9EfPunGcRzJrDKOeColku8E2yecdA8FgD-muls0yyZdaMa2AI_A5JrquWguxzU&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p1200x1200_q75_tt6&edm=AAT1rw8EAAAA&_nc_gid=fdaGW-z50RgIwvDlKChPwA&_nc_oc=AdmF3Ke7EqvLhInuISK1KvKWVfb8XQNEqqiKkUc3-9wj4QCpzEahCprUxkrio6K9xpM&ccb=13-1&oh=06_Q3-6AdYozOckSYag7exspYSdTKpBgx6Wn9Xkkn7SpeQUm91q&oe=69567A01&_nc_sid=58080a,thumbnail_hires
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 동영상_세로형 | 일반인 | 베이비핑크 | 251117,120235963932690106,https://fb.me/22x4LVA7rZHkcPp,https://www.facebook.com/ads/image/?d=AQLruYbwd-t62yYsPs7zYrDjA2fGa8mgtMWQGZMYwrqLZku9ShC7A7y5x_dQRrONyAMg0OwS1xulx9aUHhyu_8bKRMtD0ev7Qci5pTclaMIbtIFqZZpnxIrSlhQQcfeJNxNRtvbXmYF6Cbiet7bAfCZC,video_data_image_url
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 이미지_GIF_정방형_그로스메이커 | 제품_01 | 아이보리 | 251117,120235945112300106,https://fb.me/2aWlpkoKwRJFWIS,https://www.facebook.com/ads/image/?d=AQKH0vurEh0Ks0oL8yg9M22MWXeJGBNI6J5mZNsWynX-Hq933qhoMrMxI4avPcjcAAK1XwE1ylc-XsDV3KWrmW4GkPY21DeiBANrKnOjt0PFDvqpnSNHsK8gZ8L8GA8RH69rcpul79pFADrQrm3wQKdi,video_data_image_url
미카 | 자사몰 | 전환_구매 | 프로모션 | 듀엘백 | 이미지_GIF_정방형_그로스메이커 | 제품_01 | 아이보리 | 251117 - 사본,120235945299830106,https://fb.me/2efWIwxy6XUr0f4,https://www.facebook.com/ads/image/?d=AQKH0vurEh0Ks0oL8yg9M22MWXeJGBNI6J5mZNsWynX-Hq933qhoMrMxI4avPcjcAAK1XwE1ylc-XsDV3KWrmW4GkPY21DeiBANrKnOjt0PFDvqpnSNHsK8gZ8L8GA8RH69rcpul79pFADrQrm3wQKdi,video_data_image_url
